,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Tests,Tests,Tests,Tests,Tests,Tests,Tests,Tests,Tests,Tests,Tests,Tests,Tests,Hospitalizations,Hospitalizations,Hospitalizations,Hospitalizations,Hospitalizations,Hospitalizations,Hospitalizations,Hospitalizations,Hospitalizations,Hospitalizations,Hospitalizations,Hospitalizations,Hospitalizations
,Total,White,Black,Hispanic,Asian,AIAN,NHPI,Multiple,Other,Unknown,Hispanic,Non-Hispanic,Unknown,Total,White,Black,Hispanic,Asian,AIAN,NHPI,Multiple,Other,Unknown,Hispanic,Non-Hispanic,Unknown,Total,White,Black,Hispanic,Asian,AIAN,NHPI,Multiple,Other,Unknown,Hispanic,Non-Hispanic,Unknown,Total,White,Black,Hispanic,Asian,AIAN,NHPI,Multiple,Other,Unknown,Hispanic,Non-Hispanic,Unknown
AK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,-1,7,6,8,9,10,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,-1,7,6,8,9,10,-1,0,1,-1
AL,-1,4,1,-1,0,-1,-1,-1,2,3,5,6,7,-1,4,1,-1,0,-1,-1,-1,2,3,5,6,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AR,3,5,4,-1,7,6,8,11,9,10,13,12,-1,3,5,4,-1,7,6,8,11,9,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CA,-1,8,2,3,1,0,5,4,6,-1,3,9,-1,7,8,2,3,1,0,5,4,6,-1,3,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CO,9,8,2,3,1,0,5,4,6,7,3,10,7,9,8,2,3,1,0,5,4,6,7,3,10,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CT,8,6,3,0,2,1,-1,4,5,7,0,9,7,8,6,3,0,2,1,-1,4,5,7,0,9,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DC,0,3,4,-1,5,6,7,-1,8,18,12,13,19,0,16,4,15,5,-1,-1,-1,17,1,15,20,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE,7,0,1,2,4,-1,-1,-1,3,5,2,6,5,7,0,1,2,4,-1,-1,-1,3,5,2,6,5,7,0,1,2,4,-1,-1,-1,3,5,2,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FL,8,0,4,1,-1,-1,-1,-1,5,6,1,2,3,8,0,4,1,-1,-1,-1,-1,5,6,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,0,4,1,-1,-1,-1,-1,5,6,1,2,3
GA,10,9,3,0,5,4,6,-1,7,8,0,1,2,10,9,3,0,5,4,6,-1,7,8,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,3,0,5,4,6,-1,7,8,0,1,2
